epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.734,1.10419,3.62671,1.21265,0.01386,1,0.09338,0.08094,0.66642,3.92145,1.15998,4e-05,4e-05,4e-05
2,34.0029,0.99629,3.44878,1.07123,0.01597,1,0.18537,0.14631,0.90067,3.95844,1.22893,8.8218e-05,8.8218e-05,8.8218e-05
3,50.7404,1.2231,3.02831,1.10481,0.01613,1,0.18794,0.10738,0.78761,4.02357,1.26461,0.000134456,0.000134456,0.000134456
4,66.657,1.17349,2.25662,1.13718,0.017,1,0.43531,0.1176,0.80944,4.01101,1.35261,0.000178714,0.000178714,0.000178714
5,82.565,1.06034,2.01948,1.07306,0.01442,1,0.22309,0.15221,0.70822,3.75539,1.25267,0.000220992,0.000220992,0.000220992
6,98.5919,1.06386,2.28569,1.10912,0.01373,1,0.2248,0.192,0.70968,3.69675,1.27186,0.00026129,0.00026129,0.00026129
7,115.555,1.26822,1.73925,1.27187,0.0137,1,0.16814,0.13727,0.78367,3.6275,1.36428,0.000299608,0.000299608,0.000299608
8,131.228,1.0711,1.46223,1.11535,0.0152,1,0.42051,0.32606,0.83712,3.61792,1.40687,0.000335946,0.000335946,0.000335946
9,147.047,1.01121,1.93542,1.1087,0.01404,0.66667,0.4975,0.33167,1.11747,3.86663,1.77562,0.000370304,0.000370304,0.000370304
10,163.184,0.99677,1.41784,1.09061,0.01206,0.66667,0.66333,0.40132,1.08387,3.63515,1.54452,0.000402682,0.000402682,0.000402682
11,179.526,1.12208,1.80562,1.2093,0.01168,1,0.4975,0.24046,0.9493,3.6628,1.39882,0.00043308,0.00043308,0.00043308
12,195.35,1.06296,1.53948,1.06762,0.4043,0.66667,0.52514,0.31785,1.03051,3.55002,1.59743,0.000461498,0.000461498,0.000461498
13,211.289,1.06288,1.44012,1.11755,0.01173,1,0.52514,0.2891,1.02173,3.6601,1.59819,0.000487936,0.000487936,0.000487936
